No,Content,Title,Price,Picture,Size,Create Date
355915284524115_745640077570552,#絕對係原創#男朋友生日#朋友生日都得#聞著屁屁說著愛#經期有人接你血#著底褲著到盡定製你的心水人頭內褲<3男裝版棉質面料圖案可選前後尺碼：S  M  L.人面獸心底褲$180whatsapp:55109214#s2s訂製,,180,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/355339742_745640060903887_3974047146911241440_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=xfXhXAK_OqcAX-N_sbB&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAankO7KY4sFTMI9euhLSN3QneX61DLR90f6l-cgaUGOg&oe=64B38822,,2023-06-23T10:05:28+0000
355915284524115_746988930769000,有壓カ！！！點算！放心！有佢！！！任打任踢任渣有怨言！！有佢！-發洩LULU豬2.0$190PU材料-WhatsApp:55109214-#hkigshop #igshop #文青 #有趣 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜  #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s花 #畢業花 #生日花 #情人節花 #紀念日花 #花束 #畢業花束 #畢業 #s2slulu豬,,190,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/356209319_746988900769003_7958680663367476696_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=20I8QiNCzuwAX-hSmS4&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAPKCkJ62XlYqPzaYf1PIur5Wa26L_UycRTWXVmwOyL8Q&oe=64B3BE13,,2023-06-25T10:59:01+0000
355915284524115_748413203959906,受死啦！一個觀音造型嘅鹹蛋超人水泥擺設，將觀音同鹹蛋超人嘅元素結合喺一齊，成為一個獨特嘅造型😂😂😂。呢個擺設嘅材質採用水泥，質感細緻，顏色淺灰色，好適合放係任何一個屋企嘅擺設。佢嘅尺寸都好啱，唔會佔太多位，可以放係書枱、櫥櫃或者客廳嘅展示架上，增加屋企嘅裝飾效果。-佛系超人水泥擺件Size:15cm高$230-WhatsApp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s玩具,,230,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/356663171_748413180626575_7338845720776250667_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=1ZwRaQ69WwUAX_M7yLQ&_nc_oc=AQlGNHc1CaPE8-9UIp94XQbH47YIA-PZVWgC8dD18zzWlOj9E0WUuXA4_w-lkz4CFd4&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCaQP3n0FbODEdrLDx7GZUVpd16QdwM-0_a7GoUrvFbHw&oe=64B326E8,,2023-06-27T10:17:48+0000
355915284524115_743565557778004,食多D菜啦！「擬真生菜造型便條紙」是一種具有生菜外觀的便條紙產品。它具有逼真的綠色外觀和質地，讓人感覺像是一片生菜葉子。-生菜便簽薄100頁135*120cm-$105Whatsapp ： 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s文具,,105,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/355025975_743565521111341_2705862838956022495_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=rH_rLk-H744AX9Q8jCE&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCYrDR10oqnHAWwCN3xTyJwlK4q09oEoxkqaKBr_ug_bw&oe=64B36B7A,,2023-06-20T09:55:48+0000
355915284524115_755476743253552,再OT，你殺左我啦再冇錢，你殺左我啦再打尖，你殺左我啦-【小龍龍儲錢桶】// Size: 約20cmW //$160whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s玩具,小龍龍儲錢桶,160,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/358105559_755476723253554_9193015555296962322_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=9eqARnWbGpcAX8rqW4W&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAvflUKyDubYgmIPLFbxIyvQ3is9IPVPu_dm6M8i5jzAg&oe=64B3B7A8, Size: 約20cmW ,2023-07-06T09:40:09+0000
355915284524115_753864086748151,鴨鴨鴨鴨鴨！鴨鴨⋯⋯鴨鴨鴨！！！(´Θ｀)(´Θ｀)(´Θ｀)(´Θ｀)(´Θ｀)傻⋯⋯⋯⋯⋯⋯⋯⋯鴨！！！-【傻鴨睡衣】// Size:S 150-157CMM 158-162CML 163-168CMXL 169-173CM//$360whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #創新 #有趣 #生日禮物 #生日 #禮物 #birthday #gift #拍拖 #情侶 #週年 #月亮燈 #驚喜 #diy #手工 #handmad #手作 #食人花 #訂造 #手機殼 #iphonecase #s2s睡衣,傻鴨睡衣,360,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/357475166_753864063414820_4308806979555926100_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=7CausB9fcTMAX-Jlenh&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBF1eBj5mXnsgeX2TnqObuis_DZH9WbtfUrJBdPw9al1w&oe=64B38936, Size:S 150-157CMM 158-162CML 163-168CMXL 169-173CM,2023-07-04T09:52:25+0000
355915284524115_750726650395228,公主最愛挖鼻屎~可選擇入邊8款公主造型❤.🌟公主抱枕🌟30CM $190 40CM $22050CM $250 60CM $290 -whatsapp:55109214-#畢業公仔 #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #s2s訂製,,190,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/357000897_750726630395230_659144129919431885_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=PYK_QH6snHMAX-3vrBj&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCNA2fNGe82EPKMzDu0SRqMxdiEc4jS1M9Vb4BtXJ0Xag&oe=64B406B6,,2023-06-30T10:33:45+0000
355915284524115_745000217634538,看得小仙女的少女心瞬間爆燈作為一個精緻的水晶女孩怎麼能缺少一套好用好看的化妝刷呢-百變小櫻🌸8枝套裝：1️⃣碎粉掃2️⃣粉底掃3️⃣斜角化妝掃4️⃣眼影掃(大)5️⃣眉梳+眉刷6️⃣唇掃7️⃣眼影掃(小)8️⃣眉掃-百變小櫻化妝掃$150Whatsapp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s化妝品,,150,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/355476759_745000197634540_2740899150666738801_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=1IVq3wOymK4AX_QS9fW&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDaXOSTMX4WkCsdZ1LGirzDkYwhk5wybFrDOiNzUxIYPA&oe=64B3C5D4,,2023-06-22T10:48:11+0000
355915284524115_744287474372479,呢款舉中指嘅形狀蠟燭唔止燃燒時間長，外形仲好逼真，真係會有種感覺係向某個人竪起中指咁！不過唔洗擔心，呢只係蠟燭，唔係真嘅中指，即使你打火都唔會惹麻煩。而且，如果你想搞下氣氛，逗下朋友笑，呢款蠟燭就好啦，保證會令大家捧腹大笑！-燒中指蠟燭顏色：黑/白$120-Whatsapp ： 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s家品,,120,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/355149528_744287444372482_6823681795621823960_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=cqOOz1_JB6QAX-vQOtv&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfC8KBQ7gL93MqKK0HnyplCktIG-5F3l5H4MBNYkeBIItw&oe=64B39B28,,2023-06-21T09:58:11+0000
355915284524115_750071327127427,有一天栽種着玫瑰花的小王子碰到了食人花侵佔 佔領了他的玫瑰園看着看着他覺得食人花也很漂亮所以最後決定把食人花也樣在一起了漂亮的小王子食人花盆景誰不想擁有一個？-🌟食人花盆栽（小王子版本）🌟款式：小王子與狐狸｜小王子與玫瑰花盆尺寸：10 x 9.5cm連禮物盒＄150－🌟食人花玻璃盆景🌟尺寸：10 x 7cm連禮物盒＄98－Whatsapp: 55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s食人花,,,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/356213042_750071287127431_5636779769693730658_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=_prmkyO36BEAX8Aq3wF&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDXmJkjEQ-5IDN8ejCkej0iMzBNfYU49L1RLbUTaxKyZw&oe=64B313FC,,2023-06-29T11:39:51+0000
355915284524115_746308474170379,呢個紅蘑菇餐具套裝，包括咖啡杯、飯碗同埋湯麵碗三件啊！全部嘅設計都係以可愛嘅紅蘑菇為主題，色彩鮮豔靚麗。咖啡杯、飯碗同湯麵碗都採用優質陶瓷製成，質感細緻，好耐用。嚟緊開始啲朝早飲咖啡、食早餐，或者煮湯麵嘅時候，就可以用呢套餐具啦！唔止實用，仲好睇呢！-紅蘑菇餐具套裝杯 $150飯碗 $130麵碗 $180一套 $420-Whatsapp ： 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s碗,,150,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/355887589_746308447503715_3578925877584927711_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=vBEKcLO3SyEAX-FeZiA&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCsRm1yQ5qDuW4cQ7m2tpFLq5LrOxQMTyiiTV8GsFsKdA&oe=64B3697A,,2023-06-24T10:35:48+0000
355915284524115_747682064033020,呢個手機殼係一個西多士造型嘅產品，每一個都有啲微妙嘅唔同形狀，好似真嘅一樣。佢有三款口味可以揀擇，分別係牛油、雞蛋同原味，每一款都有佢獨特嘅風味同特色。如果你鍾意食西多士，咁就唔應該錯過呢個手機殼啦！-超像真多士手機殼三款不同選擇（牛油、雞蛋和原味）大部分iPhone適用$160-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業 #畢業禮物 #s2s手機殼 #s2scase,,160,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/356248326_747682037366356_5359345982143154895_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=VeHeZ2m0g24AX9f0-Uq&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAh0szWe6mp8L-aOLGd0rdgoKnMTjTt-wGwDPQq1zBT5g&oe=64B3AEFE,,2023-06-26T09:44:08+0000
